上线机场,下线机场,出发日期,出发时刻,出发类型,出发航班,到达日期,到达时刻,到达类型,到达航班,区域,机体类别,登机口,终端厅,飞机型号,飞机转场记录
IOE,GDP,2018/1/20,12:30:00,I,NV898,2018/1/19,21:05:00,I,NV651,North,N,T1,T,33E,PK159
COF,COF,2018/1/19,21:55:00,I,NV826,2018/1/19,20:00:00,I,NV827,North,N,T1,T,33E,PK140
NFM,TJO,2018/1/19,23:30:00,I,NV654,2018/1/19,19:40:00,I,NV849,North,N,T1,T,33E,PK135
TZE,GSB,2018/1/20,0:10:00,I,NV320,2018/1/19,19:30:00,I,NV673,North,N,T1,T,33E,PK131
ZZA,TZE,2018/1/20,0:05:00,I,NV846,2018/1/19,19:20:00,I,NV319,North,N,T1,T,773,PK129
NBE,ZWS,2018/1/20,0:20:00,I,NV608,2018/1/19,18:05:00,I,NV821,North,N,T1,T,33H,PK108
TGP,DEH,2018/1/20,0:05:00,I,NV664,2018/1/19,18:00:00,I,NV601,North,N,T1,T,773,PK107
MBY,NFM,2018/1/20,0:20:00,I,NV840,2018/1/19,17:50:00,I,NV697,North,N,T1,T,773,PK104
ZWS,MIS,2018/1/20,13:00:00,I,NV662,2018/1/19,16:55:00,I,NV693,North,N,T1,T,33H,PK094
DUT,CLL,2018/1/19,20:40:00,I,NV658,2018/1/19,16:55:00,I,NV391,North,N,T1,T,33L,PK093
OSU,MBY,2018/1/19,21:00:00,I,NV688,2018/1/19,16:35:00,I,NV635,North,N,T1,T,773,PK091
MIS,ZWS,2018/1/20,13:30:00,I,NV692,2018/1/19,16:30:00,I,NV663,North,N,T1,T,33H,PK089
IOM,IOM,2018/1/19,17:20:00,I,NV682,2018/1/19,16:20:00,I,NV683,North,N,T1,T,33L,PK086
TJO,NFM,2018/1/19,19:45:00,I,NV848,2018/1/19,15:30:00,I,NV657,North,N,T1,T,33E,PK071
GDP,TZE,2018/1/19,20:20:00,I,NV672,2018/1/19,15:00:00,I,NV899,North,N,T1,T,33E,PK064
DEH,KGL,2018/1/19,20:00:00,I,NV308,2018/1/19,14:50:00,I,NV681,North,N,T1,T,773,PK059
LVM,ILH,2018/1/21,9:35:00,I,GN922,2018/1/21,7:20:00,I,GN973,North,W,T2,T,73H,PK726
ILU,ILU,2018/1/21,19:30:00,I,GN942,2018/1/21,7:15:00,I,GN969,North,W,T2,T,73H,PK725
DSL,DOY,2018/1/21,10:10:00,I,NV316,2018/1/21,7:00:00,I,NV6157,North,W,T2,T,320,PK723
CLJ,CLL,2018/1/21,8:35:00,I,GN940,2018/1/21,5:55:00,I,GN979,North,W,T2,T,73H,PK717
QOI,PLB,2018/1/21,10:20:00,I,NV3196,2018/1/21,5:20:00,I,NV871,North,W,T2,T,320,PK713
LCW,CLL,2018/1/21,12:00:00,I,GN944,2018/1/21,5:00:00,I,GN991,North,W,T2,T,73H,PK709
LVM,CLL,2018/1/21,22:30:00,I,GN952,2018/1/21,21:30:00,I,GN997,North,W,T2,T,73H,PK667
CLL,ILU,2018/1/21,20:00:00,I,GN968,2018/1/21,18:50:00,I,GN951,North,W,T2,T,73H,PK621
QVT,CLJ,2018/1/21,19:45:00,I,GN978,2018/1/21,18:40:00,I,GN941,North,W,T2,T,73H,PK617
ILH,ILH,2018/1/21,18:30:00,I,NV834,2018/1/21,17:30:00,I,NV619,North,W,T2,T,325,PK601
JDO,SFQ,2018/1/21,18:40:00,I,NV624,2018/1/21,17:30:00,I,NV6145,North,W,T2,T,325,PK600
ILH,CLL,2018/1/21,18:30:00,I,GN964,2018/1/21,15:55:00,I,GN923,North,W,T2,T,73H,PK579
LNR,PLK,2018/1/21,17:35:00,I,NV638,2018/1/21,15:35:00,I,NV669,North,W,T2,T,319,PK574
LJY,ILH,2018/1/21,16:15:00,I,NV616,2018/1/21,14:55:00,I,NV337,North,W,T2,T,323,PK561
UTB,JDO,2018/1/21,14:45:00,I,GN938,2018/1/21,13:40:00,I,GN913,North,W,T2,T,73H,PK541
ILH,ILH,2018/1/21,13:15:00,I,NV610,2018/1/21,12:00:00,I,NV835,North,W,T2,T,325,PK527
NOM,ILH,2018/1/21,11:25:00,I,NV618,2018/1/21,10:20:00,I,NV323,North,W,T2,T,325,PK511
DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,North,W,T2,T,320,PK475
LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,North,W,T2,T,73H,PK470
ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,North,W,T2,T,73H,PK465
QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,North,W,T2,T,325,PK455
SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,North,W,T2,T,325,PK450
CLL,LVM,2018/1/21,9:20:00,I,GN996,2018/1/20,22:10:00,I,GN945,North,W,T2,T,73H,PK421
LVM,CLL,2018/1/20,22:30:00,I,GN952,2018/1/20,21:30:00,I,GN997,North,W,T2,T,73H,PK409
DOY,DFC,2018/1/21,0:15:00,I,NV6134,2018/1/20,20:25:00,I,NV317,North,W,T2,T,320,PK391
ILH,NOM,2018/1/21,1:50:00,I,NV322,2018/1/20,20:10:00,I,NV621,North,W,T2,T,325,PK386
LJY,DSL,2018/1/20,23:10:00,I,NV6156,2018/1/20,19:20:00,I,NV337,North,W,T2,T,320,PK371
CLL,ILU,2018/1/20,20:00:00,I,GN968,2018/1/20,18:50:00,I,GN951,North,W,T2,T,73H,PK361
QVT,CLJ,2018/1/20,19:45:00,I,GN978,2018/1/20,18:40:00,I,GN941,North,W,T2,T,73H,PK358
ILH,SFQ,2018/1/20,18:40:00,I,NV624,2018/1/20,17:30:00,I,NV619,North,W,T2,T,325,PK344
JDO,JDO,2018/1/21,9:15:00,I,NV6152,2018/1/20,17:30:00,I,NV6145,North,W,T2,T,325,PK343
LJK,PLK,2018/1/20,17:35:00,I,NV638,2018/1/20,16:40:00,I,NV307,North,W,T2,T,319,PK334
ILH,JDO,2018/1/20,17:30:00,I,NV6162,2018/1/20,15:55:00,I,NV813,North,W,T2,T,325,PK324
CLL,CLL,2018/1/20,18:30:00,I,GN964,2018/1/20,15:40:00,I,GN965,North,W,T2,T,73H,PK318
UTB,LCW,2018/1/20,17:00:00,I,GN980,2018/1/20,15:25:00,I,GN931,North,W,T2,T,73H,PK314
ILH,ILH,2018/1/20,16:15:00,I,NV616,2018/1/20,14:50:00,I,NV613,North,W,T2,T,320,PK303
CLL,ILU,2018/1/20,19:30:00,I,GN942,2018/1/20,14:50:00,I,GN953,North,W,T2,T,73H,PK302
JDO,UQF,2018/1/20,15:45:00,I,NV6116,2018/1/20,14:00:00,I,NV6153,North,W,T2,T,325,PK292
UTB,JDO,2018/1/20,14:45:00,I,GN938,2018/1/20,13:40:00,I,GN913,North,W,T2,T,73H,PK287
ILH,LJY,2018/1/20,18:10:00,I,NV830,2018/1/20,12:00:00,I,NV835,North,W,T2,T,325,PK275
LJY,ILH,2018/1/20,13:15:00,I,NV610,2018/1/20,11:25:00,I,NV841,North,W,T2,T,325,PK274
IOE,JDO,2018/1/20,12:15:00,I,NV6144,2018/1/20,10:20:00,I,NV687,North,W,T2,T,325,PK261
NOM,ILH,2018/1/20,12:15:00,I,NV614,2018/1/20,10:20:00,I,NV323,North,W,T2,T,325,PK260
DFC,DOY,2018/1/19,10:10:00,I,NV316,2018/1/19,8:35:00,I,NV6135,North,W,T2,T,320,PK228
LVM,CLL,2018/1/19,8:35:00,I,GN940,2018/1/19,7:20:00,I,GN973,North,W,T2,T,73H,PK222
ILU,UTB,2018/1/19,9:10:00,I,GN912,2018/1/19,7:15:00,I,GN969,North,W,T2,T,73H,PK221
ILU,LVM,2018/1/19,9:20:00,I,GN996,2018/1/19,6:30:00,I,GN943,North,W,T2,T,73H,PK218
CLJ,CLL,2018/1/19,12:00:00,I,GN944,2018/1/19,5:55:00,I,GN979,North,W,T2,T,73H,PK214
QOI,PLB,2018/1/19,10:20:00,I,NV3196,2018/1/19,5:20:00,I,NV871,North,W,T2,T,325,PK211
SFQ,JDO,2018/1/19,9:15:00,I,NV6152,2018/1/19,4:25:00,I,NV625,North,W,T2,T,325,PK206
LVM,CLL,2018/1/19,22:30:00,I,GN952,2018/1/19,21:30:00,I,GN997,North,W,T2,T,73H,PK166
DOY,DFC,2018/1/20,0:15:00,I,NV6134,2018/1/19,20:25:00,I,NV317,North,W,T2,T,320,PK149
ILH,NOM,2018/1/20,1:50:00,I,NV322,2018/1/19,20:10:00,I,NV621,North,W,T2,T,325,PK144
CLL,ILU,2018/1/19,20:00:00,I,GN968,2018/1/19,18:50:00,I,GN951,North,W,T2,T,73H,PK122
QVT,CLJ,2018/1/19,19:45:00,I,GN978,2018/1/19,18:40:00,I,GN941,North,W,T2,T,73H,PK118
ILH,SFQ,2018/1/19,18:40:00,I,NV624,2018/1/19,17:30:00,I,NV619,North,W,T2,T,325,PK101
JDO,QOI,2018/1/19,20:00:00,I,NV860,2018/1/19,17:30:00,I,NV6145,North,W,T2,T,325,PK100
PLB,JDO,2018/1/19,17:30:00,I,NV6162,2018/1/19,16:30:00,I,NV3197,North,W,T2,T,325,PK087
LNR,IJK,2018/1/19,17:40:00,I,NV304,2018/1/19,15:35:00,I,NV669,North,W,T2,T,319,PK075
ILH,ILH,2018/1/19,16:15:00,I,NV616,2018/1/19,14:50:00,I,NV613,North,W,T2,T,321,PK057
UTB,ILU,2018/1/19,19:30:00,I,GN942,2018/1/19,13:40:00,I,GN913,North,W,T2,T,73H,PK040
ILH,ILH,2018/1/19,13:15:00,I,NV610,2018/1/19,11:55:00,I,NV835,North,W,T2,T,325,PK026
LJY,PLB,2018/1/19,13:10:00,I,NV398,2018/1/19,11:25:00,I,NV841,North,W,T2,T,325,PK025
IOE,ILH,2018/1/19,11:25:00,I,NV618,2018/1/19,10:20:00,I,NV687,North,W,T2,T,325,PK011
LVM,ILH,2018/1/21,9:35:00,I,GN922,2018/1/21,7:20:00,I,GN973,North,W,T3,T,73H,PK726
ILU,ILU,2018/1/21,19:30:00,I,GN942,2018/1/21,7:15:00,I,GN969,North,W,T3,T,73H,PK725
DSL,DOY,2018/1/21,10:10:00,I,NV316,2018/1/21,7:00:00,I,NV6157,North,W,T3,T,320,PK723
CLJ,CLL,2018/1/21,8:35:00,I,GN940,2018/1/21,5:55:00,I,GN979,North,W,T3,T,73H,PK717
QOI,PLB,2018/1/21,10:20:00,I,NV3196,2018/1/21,5:20:00,I,NV871,North,W,T3,T,320,PK713
LCW,CLL,2018/1/21,12:00:00,I,GN944,2018/1/21,5:00:00,I,GN991,North,W,T3,T,73H,PK709
LVM,CLL,2018/1/21,22:30:00,I,GN952,2018/1/21,21:30:00,I,GN997,North,W,T3,T,73H,PK667
CLL,ILU,2018/1/21,20:00:00,I,GN968,2018/1/21,18:50:00,I,GN951,North,W,T3,T,73H,PK621
QVT,CLJ,2018/1/21,19:45:00,I,GN978,2018/1/21,18:40:00,I,GN941,North,W,T3,T,73H,PK617
ILH,ILH,2018/1/21,18:30:00,I,NV834,2018/1/21,17:30:00,I,NV619,North,W,T3,T,325,PK601
JDO,SFQ,2018/1/21,18:40:00,I,NV624,2018/1/21,17:30:00,I,NV6145,North,W,T3,T,325,PK600
ILH,CLL,2018/1/21,18:30:00,I,GN964,2018/1/21,15:55:00,I,GN923,North,W,T3,T,73H,PK579
LNR,PLK,2018/1/21,17:35:00,I,NV638,2018/1/21,15:35:00,I,NV669,North,W,T3,T,319,PK574
LJY,ILH,2018/1/21,16:15:00,I,NV616,2018/1/21,14:55:00,I,NV337,North,W,T3,T,323,PK561
UTB,JDO,2018/1/21,14:45:00,I,GN938,2018/1/21,13:40:00,I,GN913,North,W,T3,T,73H,PK541
ILH,ILH,2018/1/21,13:15:00,I,NV610,2018/1/21,12:00:00,I,NV835,North,W,T3,T,325,PK527
NOM,ILH,2018/1/21,11:25:00,I,NV618,2018/1/21,10:20:00,I,NV323,North,W,T3,T,325,PK511
DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,North,W,T3,T,320,PK475
LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,North,W,T3,T,73H,PK470
ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,North,W,T3,T,73H,PK465
QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,North,W,T3,T,325,PK455
SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,North,W,T3,T,325,PK450
CLL,LVM,2018/1/21,9:20:00,I,GN996,2018/1/20,22:10:00,I,GN945,North,W,T3,T,73H,PK421
LVM,CLL,2018/1/20,22:30:00,I,GN952,2018/1/20,21:30:00,I,GN997,North,W,T3,T,73H,PK409
DOY,DFC,2018/1/21,0:15:00,I,NV6134,2018/1/20,20:25:00,I,NV317,North,W,T3,T,320,PK391
ILH,NOM,2018/1/21,1:50:00,I,NV322,2018/1/20,20:10:00,I,NV621,North,W,T3,T,325,PK386
LJY,DSL,2018/1/20,23:10:00,I,NV6156,2018/1/20,19:20:00,I,NV337,North,W,T3,T,320,PK371
CLL,ILU,2018/1/20,20:00:00,I,GN968,2018/1/20,18:50:00,I,GN951,North,W,T3,T,73H,PK361
QVT,CLJ,2018/1/20,19:45:00,I,GN978,2018/1/20,18:40:00,I,GN941,North,W,T3,T,73H,PK358
ILH,SFQ,2018/1/20,18:40:00,I,NV624,2018/1/20,17:30:00,I,NV619,North,W,T3,T,325,PK344
JDO,JDO,2018/1/21,9:15:00,I,NV6152,2018/1/20,17:30:00,I,NV6145,North,W,T3,T,325,PK343
LJK,PLK,2018/1/20,17:35:00,I,NV638,2018/1/20,16:40:00,I,NV307,North,W,T3,T,319,PK334
ILH,JDO,2018/1/20,17:30:00,I,NV6162,2018/1/20,15:55:00,I,NV813,North,W,T3,T,325,PK324
CLL,CLL,2018/1/20,18:30:00,I,GN964,2018/1/20,15:40:00,I,GN965,North,W,T3,T,73H,PK318
UTB,LCW,2018/1/20,17:00:00,I,GN980,2018/1/20,15:25:00,I,GN931,North,W,T3,T,73H,PK314
ILH,ILH,2018/1/20,16:15:00,I,NV616,2018/1/20,14:50:00,I,NV613,North,W,T3,T,320,PK303
CLL,ILU,2018/1/20,19:30:00,I,GN942,2018/1/20,14:50:00,I,GN953,North,W,T3,T,73H,PK302
JDO,UQF,2018/1/20,15:45:00,I,NV6116,2018/1/20,14:00:00,I,NV6153,North,W,T3,T,325,PK292
UTB,JDO,2018/1/20,14:45:00,I,GN938,2018/1/20,13:40:00,I,GN913,North,W,T3,T,73H,PK287
ILH,LJY,2018/1/20,18:10:00,I,NV830,2018/1/20,12:00:00,I,NV835,North,W,T3,T,325,PK275
LJY,ILH,2018/1/20,13:15:00,I,NV610,2018/1/20,11:25:00,I,NV841,North,W,T3,T,325,PK274
IOE,JDO,2018/1/20,12:15:00,I,NV6144,2018/1/20,10:20:00,I,NV687,North,W,T3,T,325,PK261
NOM,ILH,2018/1/20,12:15:00,I,NV614,2018/1/20,10:20:00,I,NV323,North,W,T3,T,325,PK260
DFC,DOY,2018/1/19,10:10:00,I,NV316,2018/1/19,8:35:00,I,NV6135,North,W,T3,T,320,PK228
LVM,CLL,2018/1/19,8:35:00,I,GN940,2018/1/19,7:20:00,I,GN973,North,W,T3,T,73H,PK222
ILU,UTB,2018/1/19,9:10:00,I,GN912,2018/1/19,7:15:00,I,GN969,North,W,T3,T,73H,PK221
ILU,LVM,2018/1/19,9:20:00,I,GN996,2018/1/19,6:30:00,I,GN943,North,W,T3,T,73H,PK218
CLJ,CLL,2018/1/19,12:00:00,I,GN944,2018/1/19,5:55:00,I,GN979,North,W,T3,T,73H,PK214
QOI,PLB,2018/1/19,10:20:00,I,NV3196,2018/1/19,5:20:00,I,NV871,North,W,T3,T,325,PK211
SFQ,JDO,2018/1/19,9:15:00,I,NV6152,2018/1/19,4:25:00,I,NV625,North,W,T3,T,325,PK206
LVM,CLL,2018/1/19,22:30:00,I,GN952,2018/1/19,21:30:00,I,GN997,North,W,T3,T,73H,PK166
DOY,DFC,2018/1/20,0:15:00,I,NV6134,2018/1/19,20:25:00,I,NV317,North,W,T3,T,320,PK149
ILH,NOM,2018/1/20,1:50:00,I,NV322,2018/1/19,20:10:00,I,NV621,North,W,T3,T,325,PK144
CLL,ILU,2018/1/19,20:00:00,I,GN968,2018/1/19,18:50:00,I,GN951,North,W,T3,T,73H,PK122
QVT,CLJ,2018/1/19,19:45:00,I,GN978,2018/1/19,18:40:00,I,GN941,North,W,T3,T,73H,PK118
ILH,SFQ,2018/1/19,18:40:00,I,NV624,2018/1/19,17:30:00,I,NV619,North,W,T3,T,325,PK101
JDO,QOI,2018/1/19,20:00:00,I,NV860,2018/1/19,17:30:00,I,NV6145,North,W,T3,T,325,PK100
PLB,JDO,2018/1/19,17:30:00,I,NV6162,2018/1/19,16:30:00,I,NV3197,North,W,T3,T,325,PK087
LNR,IJK,2018/1/19,17:40:00,I,NV304,2018/1/19,15:35:00,I,NV669,North,W,T3,T,319,PK075
ILH,ILH,2018/1/19,16:15:00,I,NV616,2018/1/19,14:50:00,I,NV613,North,W,T3,T,321,PK057
UTB,ILU,2018/1/19,19:30:00,I,GN942,2018/1/19,13:40:00,I,GN913,North,W,T3,T,73H,PK040
ILH,ILH,2018/1/19,13:15:00,I,NV610,2018/1/19,11:55:00,I,NV835,North,W,T3,T,325,PK026
LJY,PLB,2018/1/19,13:10:00,I,NV398,2018/1/19,11:25:00,I,NV841,North,W,T3,T,325,PK025
IOE,ILH,2018/1/19,11:25:00,I,NV618,2018/1/19,10:20:00,I,NV687,North,W,T3,T,325,PK011
LVM,ILH,2018/1/21,9:35:00,I,GN922,2018/1/21,7:20:00,I,GN973,North,W,T4,T,73H,PK726
ILU,ILU,2018/1/21,19:30:00,I,GN942,2018/1/21,7:15:00,I,GN969,North,W,T4,T,73H,PK725
DSL,DOY,2018/1/21,10:10:00,I,NV316,2018/1/21,7:00:00,I,NV6157,North,W,T4,T,320,PK723
CLJ,CLL,2018/1/21,8:35:00,I,GN940,2018/1/21,5:55:00,I,GN979,North,W,T4,T,73H,PK717
QOI,PLB,2018/1/21,10:20:00,I,NV3196,2018/1/21,5:20:00,I,NV871,North,W,T4,T,320,PK713
LCW,CLL,2018/1/21,12:00:00,I,GN944,2018/1/21,5:00:00,I,GN991,North,W,T4,T,73H,PK709
LVM,CLL,2018/1/21,22:30:00,I,GN952,2018/1/21,21:30:00,I,GN997,North,W,T4,T,73H,PK667
CLL,ILU,2018/1/21,20:00:00,I,GN968,2018/1/21,18:50:00,I,GN951,North,W,T4,T,73H,PK621
QVT,CLJ,2018/1/21,19:45:00,I,GN978,2018/1/21,18:40:00,I,GN941,North,W,T4,T,73H,PK617
ILH,ILH,2018/1/21,18:30:00,I,NV834,2018/1/21,17:30:00,I,NV619,North,W,T4,T,325,PK601
JDO,SFQ,2018/1/21,18:40:00,I,NV624,2018/1/21,17:30:00,I,NV6145,North,W,T4,T,325,PK600
ILH,CLL,2018/1/21,18:30:00,I,GN964,2018/1/21,15:55:00,I,GN923,North,W,T4,T,73H,PK579
LNR,PLK,2018/1/21,17:35:00,I,NV638,2018/1/21,15:35:00,I,NV669,North,W,T4,T,319,PK574
LJY,ILH,2018/1/21,16:15:00,I,NV616,2018/1/21,14:55:00,I,NV337,North,W,T4,T,323,PK561
UTB,JDO,2018/1/21,14:45:00,I,GN938,2018/1/21,13:40:00,I,GN913,North,W,T4,T,73H,PK541
ILH,ILH,2018/1/21,13:15:00,I,NV610,2018/1/21,12:00:00,I,NV835,North,W,T4,T,325,PK527
NOM,ILH,2018/1/21,11:25:00,I,NV618,2018/1/21,10:20:00,I,NV323,North,W,T4,T,325,PK511
DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,North,W,T4,T,320,PK475
LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,North,W,T4,T,73H,PK470
ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,North,W,T4,T,73H,PK465
QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,North,W,T4,T,325,PK455
SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,North,W,T4,T,325,PK450
