,Unnamed: 0,Unnamed: 0.1,上线机场,下线机场,出发日期,出发时刻,出发类型,出发航班,到达日期,到达时刻,到达类型,到达航班,区域,机体类别,登机口,终端厅,飞机型号,飞机转场记录号,精确到达时间,精确出发时间
51,51,51,DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,North,W,T3,T,320,PK475,2018/1/20 8:35:00,2018/1/20 10:20:00
52,52,52,LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,North,W,T3,T,73H,PK470,2018/1/20 7:20:00,2018/1/20 8:35:00
53,53,53,ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,North,W,T3,T,73H,PK465,2018/1/20 6:30:00,2018/1/20 9:20:00
54,54,54,QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,North,W,T3,T,325,PK455,2018/1/20 5:20:00,2018/1/20 9:25:00
55,55,55,SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,North,W,T3,T,325,PK450,2018/1/20 4:25:00,2018/1/20 9:15:00
56,56,56,LVM,CLL,2018/1/20,22:30:00,I,GN952,2018/1/20,21:30:00,I,GN997,North,W,T3,T,73H,PK409,2018/1/20 21:30:00,2018/1/20 22:30:00
57,57,57,LJY,DSL,2018/1/20,23:10:00,I,NV6156,2018/1/20,19:20:00,I,NV337,North,W,T3,T,320,PK371,2018/1/20 19:20:00,2018/1/20 23:10:00
58,58,58,CLL,ILU,2018/1/20,20:00:00,I,GN968,2018/1/20,18:50:00,I,GN951,North,W,T3,T,73H,PK361,2018/1/20 18:50:00,2018/1/20 20:00:00
59,59,59,QVT,CLJ,2018/1/20,19:45:00,I,GN978,2018/1/20,18:40:00,I,GN941,North,W,T3,T,73H,PK358,2018/1/20 18:40:00,2018/1/20 19:45:00
60,60,60,ILH,SFQ,2018/1/20,18:40:00,I,NV624,2018/1/20,17:30:00,I,NV619,North,W,T3,T,325,PK344,2018/1/20 17:30:00,2018/1/20 18:40:00
61,61,61,LJK,PLK,2018/1/20,17:35:00,I,NV638,2018/1/20,16:40:00,I,NV307,North,W,T3,T,319,PK334,2018/1/20 16:40:00,2018/1/20 17:35:00
62,62,62,ILH,JDO,2018/1/20,17:30:00,I,NV6162,2018/1/20,15:55:00,I,NV813,North,W,T3,T,325,PK324,2018/1/20 15:55:00,2018/1/20 17:30:00
63,63,63,CLL,CLL,2018/1/20,18:30:00,I,GN964,2018/1/20,15:40:00,I,GN965,North,W,T3,T,73H,PK318,2018/1/20 15:40:00,2018/1/20 18:30:00
64,64,64,UTB,LCW,2018/1/20,17:00:00,I,GN980,2018/1/20,15:25:00,I,GN931,North,W,T3,T,73H,PK314,2018/1/20 15:25:00,2018/1/20 17:00:00
65,65,65,ILH,ILH,2018/1/20,16:15:00,I,NV616,2018/1/20,14:50:00,I,NV613,North,W,T3,T,320,PK303,2018/1/20 14:50:00,2018/1/20 16:15:00
66,66,66,CLL,ILU,2018/1/20,19:30:00,I,GN942,2018/1/20,14:50:00,I,GN953,North,W,T3,T,73H,PK302,2018/1/20 14:50:00,2018/1/20 19:30:00
67,67,67,JDO,UQF,2018/1/20,15:45:00,I,NV6116,2018/1/20,14:00:00,I,NV6153,North,W,T3,T,325,PK292,2018/1/20 14:00:00,2018/1/20 15:45:00
68,68,68,UTB,JDO,2018/1/20,14:45:00,I,GN938,2018/1/20,13:40:00,I,GN913,North,W,T3,T,73H,PK287,2018/1/20 13:40:00,2018/1/20 14:45:00
69,69,69,ILH,LJY,2018/1/20,18:10:00,I,NV830,2018/1/20,12:00:00,I,NV835,North,W,T3,T,325,PK275,2018/1/20 12:00:00,2018/1/20 18:10:00
70,70,70,LJY,ILH,2018/1/20,13:15:00,I,NV610,2018/1/20,11:25:00,I,NV841,North,W,T3,T,325,PK274,2018/1/20 11:25:00,2018/1/20 13:15:00
71,71,71,IOE,JDO,2018/1/20,12:15:00,I,NV6144,2018/1/20,10:20:00,I,NV687,North,W,T3,T,325,PK261,2018/1/20 10:20:00,2018/1/20 12:15:00
72,72,72,NOM,ILH,2018/1/20,12:15:00,I,NV614,2018/1/20,10:20:00,I,NV323,North,W,T3,T,325,PK260,2018/1/20 10:20:00,2018/1/20 12:15:00
73,73,73,DOY,DFC,2018/1/20,0:15:00,I,NV6134,2018/1/19,20:25:00,I,NV317,North,W,T3,T,320,PK149,2018/1/19 20:25:00,2018/1/20 0:15:00
74,74,74,ILH,NOM,2018/1/20,1:50:00,I,NV322,2018/1/19,20:10:00,I,NV621,North,W,T3,T,325,PK144,2018/1/19 20:10:00,2018/1/20 1:50:00
75,75,75,DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,North,W,T4,T,320,PK475,2018/1/20 8:35:00,2018/1/20 10:20:00
76,76,76,LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,North,W,T4,T,73H,PK470,2018/1/20 7:20:00,2018/1/20 8:35:00
77,77,77,ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,North,W,T4,T,73H,PK465,2018/1/20 6:30:00,2018/1/20 9:20:00
78,78,78,QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,North,W,T4,T,325,PK455,2018/1/20 5:20:00,2018/1/20 9:25:00
79,79,79,SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,North,W,T4,T,325,PK450,2018/1/20 4:25:00,2018/1/20 9:15:00
80,80,80,LVM,CLL,2018/1/20,22:30:00,I,GN952,2018/1/20,21:30:00,I,GN997,North,W,T4,T,73H,PK409,2018/1/20 21:30:00,2018/1/20 22:30:00
81,81,81,LJY,DSL,2018/1/20,23:10:00,I,NV6156,2018/1/20,19:20:00,I,NV337,North,W,T4,T,320,PK371,2018/1/20 19:20:00,2018/1/20 23:10:00
82,82,82,CLL,ILU,2018/1/20,20:00:00,I,GN968,2018/1/20,18:50:00,I,GN951,North,W,T4,T,73H,PK361,2018/1/20 18:50:00,2018/1/20 20:00:00
83,83,83,QVT,CLJ,2018/1/20,19:45:00,I,GN978,2018/1/20,18:40:00,I,GN941,North,W,T4,T,73H,PK358,2018/1/20 18:40:00,2018/1/20 19:45:00
84,84,84,ILH,SFQ,2018/1/20,18:40:00,I,NV624,2018/1/20,17:30:00,I,NV619,North,W,T4,T,325,PK344,2018/1/20 17:30:00,2018/1/20 18:40:00
85,85,85,LJK,PLK,2018/1/20,17:35:00,I,NV638,2018/1/20,16:40:00,I,NV307,North,W,T4,T,319,PK334,2018/1/20 16:40:00,2018/1/20 17:35:00
86,86,86,ILH,JDO,2018/1/20,17:30:00,I,NV6162,2018/1/20,15:55:00,I,NV813,North,W,T4,T,325,PK324,2018/1/20 15:55:00,2018/1/20 17:30:00
87,87,87,CLL,CLL,2018/1/20,18:30:00,I,GN964,2018/1/20,15:40:00,I,GN965,North,W,T4,T,73H,PK318,2018/1/20 15:40:00,2018/1/20 18:30:00
88,88,88,UTB,LCW,2018/1/20,17:00:00,I,GN980,2018/1/20,15:25:00,I,GN931,North,W,T4,T,73H,PK314,2018/1/20 15:25:00,2018/1/20 17:00:00
89,89,89,ILH,ILH,2018/1/20,16:15:00,I,NV616,2018/1/20,14:50:00,I,NV613,North,W,T4,T,320,PK303,2018/1/20 14:50:00,2018/1/20 16:15:00
90,90,90,CLL,ILU,2018/1/20,19:30:00,I,GN942,2018/1/20,14:50:00,I,GN953,North,W,T4,T,73H,PK302,2018/1/20 14:50:00,2018/1/20 19:30:00
91,91,91,JDO,UQF,2018/1/20,15:45:00,I,NV6116,2018/1/20,14:00:00,I,NV6153,North,W,T4,T,325,PK292,2018/1/20 14:00:00,2018/1/20 15:45:00
92,92,92,UTB,JDO,2018/1/20,14:45:00,I,GN938,2018/1/20,13:40:00,I,GN913,North,W,T4,T,73H,PK287,2018/1/20 13:40:00,2018/1/20 14:45:00
93,93,93,ILH,LJY,2018/1/20,18:10:00,I,NV830,2018/1/20,12:00:00,I,NV835,North,W,T4,T,325,PK275,2018/1/20 12:00:00,2018/1/20 18:10:00
94,94,94,LJY,ILH,2018/1/20,13:15:00,I,NV610,2018/1/20,11:25:00,I,NV841,North,W,T4,T,325,PK274,2018/1/20 11:25:00,2018/1/20 13:15:00
95,95,95,IOE,JDO,2018/1/20,12:15:00,I,NV6144,2018/1/20,10:20:00,I,NV687,North,W,T4,T,325,PK261,2018/1/20 10:20:00,2018/1/20 12:15:00
96,96,96,NOM,ILH,2018/1/20,12:15:00,I,NV614,2018/1/20,10:20:00,I,NV323,North,W,T4,T,325,PK260,2018/1/20 10:20:00,2018/1/20 12:15:00
97,97,97,DOY,DFC,2018/1/20,0:15:00,I,NV6134,2018/1/19,20:25:00,I,NV317,North,W,T4,T,320,PK149,2018/1/19 20:25:00,2018/1/20 0:15:00
98,98,98,ILH,NOM,2018/1/20,1:50:00,I,NV322,2018/1/19,20:10:00,I,NV621,North,W,T4,T,325,PK144,2018/1/19 20:10:00,2018/1/20 1:50:00
99,99,99,DFC,PLB,2018/1/20,10:20:00,I,NV3196,2018/1/20,8:35:00,I,NV6135,North,W,T5,T,320,PK475,2018/1/20 8:35:00,2018/1/20 10:20:00
100,100,100,LVM,CLL,2018/1/20,8:35:00,I,GN940,2018/1/20,7:20:00,I,GN973,North,W,T5,T,73H,PK470,2018/1/20 7:20:00,2018/1/20 8:35:00
101,101,101,ILU,LVM,2018/1/20,9:20:00,I,GN996,2018/1/20,6:30:00,I,GN943,North,W,T5,T,73H,PK465,2018/1/20 6:30:00,2018/1/20 9:20:00
102,102,102,QOI,ILH,2018/1/20,9:25:00,I,NV812,2018/1/20,5:20:00,I,NV871,North,W,T5,T,325,PK455,2018/1/20 5:20:00,2018/1/20 9:25:00
103,103,103,SFQ,JDO,2018/1/20,9:15:00,I,NV6152,2018/1/20,4:25:00,I,NV625,North,W,T5,T,325,PK450,2018/1/20 4:25:00,2018/1/20 9:15:00
104,104,104,LVM,CLL,2018/1/20,22:30:00,I,GN952,2018/1/20,21:30:00,I,GN997,North,W,T5,T,73H,PK409,2018/1/20 21:30:00,2018/1/20 22:30:00
105,105,105,LJY,DSL,2018/1/20,23:10:00,I,NV6156,2018/1/20,19:20:00,I,NV337,North,W,T5,T,320,PK371,2018/1/20 19:20:00,2018/1/20 23:10:00
106,106,106,CLL,ILU,2018/1/20,20:00:00,I,GN968,2018/1/20,18:50:00,I,GN951,North,W,T5,T,73H,PK361,2018/1/20 18:50:00,2018/1/20 20:00:00
107,107,107,QVT,CLJ,2018/1/20,19:45:00,I,GN978,2018/1/20,18:40:00,I,GN941,North,W,T5,T,73H,PK358,2018/1/20 18:40:00,2018/1/20 19:45:00
108,108,108,ILH,SFQ,2018/1/20,18:40:00,I,NV624,2018/1/20,17:30:00,I,NV619,North,W,T5,T,325,PK344,2018/1/20 17:30:00,2018/1/20 18:40:00
109,109,109,LJK,PLK,2018/1/20,17:35:00,I,NV638,2018/1/20,16:40:00,I,NV307,North,W,T5,T,319,PK334,2018/1/20 16:40:00,2018/1/20 17:35:00
110,110,110,ILH,JDO,2018/1/20,17:30:00,I,NV6162,2018/1/20,15:55:00,I,NV813,North,W,T5,T,325,PK324,2018/1/20 15:55:00,2018/1/20 17:30:00
111,111,111,CLL,CLL,2018/1/20,18:30:00,I,GN964,2018/1/20,15:40:00,I,GN965,North,W,T5,T,73H,PK318,2018/1/20 15:40:00,2018/1/20 18:30:00
112,112,112,UTB,LCW,2018/1/20,17:00:00,I,GN980,2018/1/20,15:25:00,I,GN931,North,W,T5,T,73H,PK314,2018/1/20 15:25:00,2018/1/20 17:00:00
113,113,113,ILH,ILH,2018/1/20,16:15:00,I,NV616,2018/1/20,14:50:00,I,NV613,North,W,T5,T,320,PK303,2018/1/20 14:50:00,2018/1/20 16:15:00
114,114,114,CLL,ILU,2018/1/20,19:30:00,I,GN942,2018/1/20,14:50:00,I,GN953,North,W,T5,T,73H,PK302,2018/1/20 14:50:00,2018/1/20 19:30:00
115,115,115,JDO,UQF,2018/1/20,15:45:00,I,NV6116,2018/1/20,14:00:00,I,NV6153,North,W,T5,T,325,PK292,2018/1/20 14:00:00,2018/1/20 15:45:00
116,116,116,UTB,JDO,2018/1/20,14:45:00,I,GN938,2018/1/20,13:40:00,I,GN913,North,W,T5,T,73H,PK287,2018/1/20 13:40:00,2018/1/20 14:45:00
117,117,117,ILH,LJY,2018/1/20,18:10:00,I,NV830,2018/1/20,12:00:00,I,NV835,North,W,T5,T,325,PK275,2018/1/20 12:00:00,2018/1/20 18:10:00
118,118,118,LJY,ILH,2018/1/20,13:15:00,I,NV610,2018/1/20,11:25:00,I,NV841,North,W,T5,T,325,PK274,2018/1/20 11:25:00,2018/1/20 13:15:00
119,119,119,IOE,JDO,2018/1/20,12:15:00,I,NV6144,2018/1/20,10:20:00,I,NV687,North,W,T5,T,325,PK261,2018/1/20 10:20:00,2018/1/20 12:15:00
120,120,120,NOM,ILH,2018/1/20,12:15:00,I,NV614,2018/1/20,10:20:00,I,NV323,North,W,T5,T,325,PK260,2018/1/20 10:20:00,2018/1/20 12:15:00
121,121,121,DOY,DFC,2018/1/20,0:15:00,I,NV6134,2018/1/19,20:25:00,I,NV317,North,W,T5,T,320,PK149,2018/1/19 20:25:00,2018/1/20 0:15:00
122,122,122,ILH,NOM,2018/1/20,1:50:00,I,NV322,2018/1/19,20:10:00,I,NV621,North,W,T5,T,325,PK144,2018/1/19 20:10:00,2018/1/20 1:50:00
123,123,123,ILH,UTO,2018/1/20,13:00:00,D,NV3194,2018/1/20,9:50:00,I,NV837,North,W,T5,T,319,PK499,2018/1/20 9:50:00,2018/1/20 13:00:00
124,124,124,JDO,AVI,2018/1/20,11:25:00,D,NV6390,2018/1/20,9:45:00,I,NV6163,North,W,T5,T,325,PK495,2018/1/20 9:45:00,2018/1/20 11:25:00
125,125,125,THO,LIO,2018/1/20,9:30:00,D,NV6576,2018/1/20,7:05:00,I,NV393,North,W,T5,T,320,PK472,2018/1/20 7:05:00,2018/1/20 9:30:00
126,126,126,ILU,LXM,2018/1/20,12:00:00,D,GN0492,2018/1/20,7:15:00,I,GN969,North,W,T5,T,73H,PK469,2018/1/20 7:15:00,2018/1/20 12:00:00
127,127,127,DSL,ZOK,2018/1/20,8:30:00,D,NV6762,2018/1/20,7:00:00,I,NV6157,North,W,T5,T,320,PK467,2018/1/20 7:00:00,2018/1/20 8:30:00
128,128,128,LCW,XOA,2018/1/20,10:25:00,D,GN0628,2018/1/20,6:00:00,I,GN977,North,W,T5,T,738,PK462,2018/1/20 6:00:00,2018/1/20 10:25:00
129,129,129,CLJ,KOA,2018/1/20,7:10:00,D,GN0290,2018/1/20,5:55:00,I,GN979,North,W,T5,T,73H,PK459,2018/1/20 5:55:00,2018/1/20 7:10:00
130,130,130,IOE,XFI,2018/1/20,10:15:00,D,GN0464,2018/1/20,4:40:00,I,GN947,North,W,T5,T,738,PK451,2018/1/20 4:40:00,2018/1/20 10:15:00
131,131,131,CLL,DHP,2018/1/20,8:50:00,D,GN0456,2018/1/20,0:20:00,I,GN967,North,W,T5,T,738,PK444,2018/1/20 0:20:00,2018/1/20 8:50:00
132,132,132,JDO,TXB,2018/1/20,21:05:00,D,GN0300,2018/1/20,20:00:00,I,GN939,North,W,T5,T,73H,PK379,2018/1/20 20:00:00,2018/1/20 21:05:00
133,133,133,OSU,YJZ,2018/1/20,21:05:00,D,NV633,2018/1/20,19:35:00,I,NV633,North,W,T5,T,325,PK375,2018/1/20 19:35:00,2018/1/20 21:05:00
134,134,134,GVL,XVI,2018/1/20,21:30:00,D,NV3655,2018/1/20,19:30:00,I,NV6199,North,W,T5,T,73E,PK372,2018/1/20 19:30:00,2018/1/20 21:30:00
135,135,135,NGN,QFL,2018/1/20,21:15:00,D,NV6297,2018/1/20,19:15:00,I,NV3119,North,W,T5,T,321,PK368,2018/1/20 19:15:00,2018/1/20 21:15:00
136,136,136,LJY,LNH,2018/1/20,21:00:00,D,NV859,2018/1/20,18:55:00,I,NV859,North,W,T5,T,73H,PK366,2018/1/20 18:55:00,2018/1/20 21:00:00
137,137,137,PLB,EMD,2018/1/20,19:50:00,D,NV6784,2018/1/20,18:45:00,I,NV399,North,W,T5,T,320,PK359,2018/1/20 18:45:00,2018/1/20 19:50:00
138,138,138,ILH,IBL,2018/1/20,21:00:00,D,NV6312,2018/1/20,18:25:00,I,NV615,North,W,T5,T,325,PK354,2018/1/20 18:25:00,2018/1/20 21:00:00
139,139,139,OHP,MIX,2018/1/20,19:35:00,D,NV831,2018/1/20,18:20:00,I,NV831,North,W,T5,T,320,PK353,2018/1/20 18:20:00,2018/1/20 19:35:00
140,140,140,GTA,XVI,2018/1/20,19:45:00,D,NV3131,2018/1/20,18:15:00,I,NV3131,North,W,T5,T,73H,PK351,2018/1/20 18:15:00,2018/1/20 19:45:00
141,141,141,PLB,ZLI,2018/1/20,17:35:00,D,NV6726,2018/1/20,16:30:00,I,NV3197,North,W,T5,T,320,PK329,2018/1/20 16:30:00,2018/1/20 17:35:00
142,142,142,LJY,ZJI,2018/1/20,19:15:00,D,NV3787,2018/1/20,15:55:00,I,NV627,North,W,T5,T,73E,PK322,2018/1/20 15:55:00,2018/1/20 19:15:00
143,143,143,UPZ,CBW,2018/1/20,17:00:00,D,GN0246,2018/1/20,15:55:00,I,GN937,North,W,T5,T,73A,PK321,2018/1/20 15:55:00,2018/1/20 17:00:00
144,144,144,OHP,EMD,2018/1/20,16:40:00,D,NV6736,2018/1/20,15:35:00,I,NV641,North,W,T5,T,320,PK317,2018/1/20 15:35:00,2018/1/20 16:40:00
145,145,145,GVL,XVI,2018/1/20,16:50:00,D,NV629,2018/1/20,15:15:00,I,NV629,North,W,T5,T,73H,PK311,2018/1/20 15:15:00,2018/1/20 16:50:00
